iter	Passed	Remaining
187	2840	12266
188	2851	12234
189	2861	12200
190	2875	12179
191	2894	12180
192	2907	12159
193	2919	12129
194	2931	12102
195	2947	12089
196	2961	12071
197	2972	12041
198	2986	12019
199	2995	11981
200	3001	11930
201	3005	11873
202	3012	11826
203	3018	11776
204	3023	11727
205	3029	11677
206	3035	11629
207	3041	11581
208	3046	11529
209	3053	11486
210	3057	11431
211	3061	11379
212	3065	11328
213	3070	11278
214	3074	11225
215	3078	11175
216	3083	11126
217	3088	11079
218	3092	11029
219	3097	10982
220	3102	10936
221	3106	10887
222	3115	10855
223	3124	10824
224	3128	10777
225	3153	10800
226	3167	10784
227	3177	10757
228	3180	10707
229	3187	10672
230	3202	10662
231	3211	10631
232	3225	10617
233	3230	10575
234	3236	10534
235	3245	10508
236	3256	10485
237	3268	10465
238	3281	10447
239	3291	10423
240	3300	10395
241	3304	10351
242	3309	10310
243	3313	10266
244	3318	10226
245	3323	10185
246	3327	10144
247	3331	10102
248	3336	10062
249	3340	10021
250	3345	9982
251	3349	9941
252	3353	9900
253	3357	9860
254	3362	9823
255	3366	9783
256	3371	9747
257	3375	9707
258	3380	9672
259	3385	9634
260	3389	9596
261	3394	9562
262	3400	9529
263	3409	9506
264	3414	9470
265	3418	9432
266	3422	9395
267	3428	9363
268	3433	9329
269	3437	9293
270	3441	9258
271	3447	9226
272	3451	9190
273	3455	9156
274	3459	9121
275	3464	9089
276	3469	9054
277	3473	9021
278	3477	8986
279	3482	8954
280	3487	8924
281	3492	8891
282	3496	8859
283	3501	8827
284	3506	8798
285	3511	8766
286	3516	8736
287	3521	8705
288	3525	8672
289	3530	8642
290	3534	8610
291	3539	8582
292	3543	8550
293	3548	8520
294	3552	8489
295	3556	8458
296	3560	8428
297	3565	8398
298	3569	8368
299	3573	8338
300	3577	8308
301	3582	8279
302	3586	8249
303	3591	8222
304	3595	8192
305	3600	8165
306	3604	8136
307	3612	8116
308	3627	8111
309	3633	8087
310	3637	8059
311	3643	8034
312	3647	8004
313	3651	7977
314	3655	7950
315	3660	7922
316	3664	7895
317	3669	7869
318	3673	7842
319	3678	7815
320	3681	7787
321	3685	7760
322	3695	7746
323	3702	7724
324	3708	7703
325	3717	7686
326	3722	7660
327	3726	7634
328	3730	7608
329	3734	7581
330	3738	7556
331	3743	7531
332	3747	7505
333	3752	7482
334	3756	7457
335	3761	7432
336	3765	7407
337	3769	7382
338	3773	7357
339	3776	7331
340	3781	7307
341	3785	7282
342	3792	7264
343	3796	7239
344	3800	7216
345	3805	7192
346	3809	7169
347	3813	7145
348	3818	7123
349	3822	7099
350	3827	7076
351	3833	7056
352	3836	7032
353	3841	7010
354	3845	6987
355	3849	6964
356	3854	6943
357	3860	6923
358	3864	6899
359	3869	6878
360	3872	6854
361	3877	6833
362	3880	6810
363	3885	6789
364	3889	6766
365	3893	6745
366	3897	6723
367	3902	6701
368	3906	6679
369	3910	6657
370	3914	6636
371	3922	6621
372	3926	6600
373	3930	6578
374	3935	6558
375	3940	6538
376	3944	6519
377	3948	6497
378	3952	6476
379	3957	6457
380	3961	6436
381	3966	6417
382	3970	6396
383	3974	6375
384	3978	6355
385	3982	6335
386	3987	6315
387	3992	6297
388	3997	6278
389	4001	6258
390	4005	6238
391	4009	6219
392	4014	6199
393	4018	6180
394	4022	6161
395	4027	6142
396	4033	6126
397	4038	6107
398	4042	6089
399	4048	6072
400	4052	6054
401	4057	6036
402	4063	6019
403	4067	6000
404	4072	5983
405	4076	5964
406	4081	5946
407	4086	5928
408	4090	5910
409	4096	5895
410	4100	5876
411	4106	5860
412	4110	5842
413	4115	5825
414	4120	5807
415	4123	5789
416	4128	5772
417	4133	5755
418	4138	5738
419	4142	5721
420	4146	5703
421	4151	5686
422	4155	5668
423	4159	5651
424	4164	5634
425	4168	5616
426	4172	5599
427	4176	5581
428	4181	5564
429	4185	5547
430	4190	5532
431	4194	5514
432	4198	5497
433	4203	5481
434	4209	5467
435	4213	5449
436	4218	5434
437	4222	5417
438	4226	5401
439	4232	5387
440	4237	5371
441	4242	5355
442	4246	5339
443	4251	5324
444	4257	5309
445	4262	5294
446	4266	5278
447	4271	5262
448	4275	5246
449	4280	5231
450	4286	5217
451	4290	5202
452	4295	5186
453	4300	5172
454	4305	5156
455	4309	5141
456	4313	5125
457	4323	5116
458	4333	5107
459	4345	5100
460	4357	5095
461	4368	5086
462	4384	5084
463	4392	5073
464	4396	5057
465	4400	5042
466	4405	5027
467	4410	5013
468	4413	4997
469	4419	4983
470	4423	4967
471	4429	4955
472	4433	4939
473	4438	4925
474	4443	4910
475	4448	4897
476	4452	4881
477	4456	4866
478	4459	4850
479	4466	4838
480	4470	4823
481	4476	4810
482	4485	4800
483	4490	4787
484	4498	4776
485	4510	4770
486	4519	4760
487	4530	4753
488	4541	4746
489	4550	4736
490	4559	4726
491	4563	4711
492	4568	4698
493	4572	4683
494	4577	4670
495	4582	4656
496	4592	4647
497	4597	4634
498	4604	4622
499	4612	4612
500	4619	4601
501	4630	4593
502	4636	4580
503	4654	4580
504	4669	4577
505	4681	4570
506	4689	4559
507	4696	4548
508	4703	4536
509	4707	4523
510	4712	4509
511	4719	4497
512	4723	4483
513	4727	4469
514	4737	4461
515	4748	4453
516	4757	4444
517	4762	4431
518	4766	4417
519	4775	4408
520	4784	4399
521	4793	4389
522	4803	4381
523	4811	4370
524	4819	4360
525	4825	4348
526	4829	4335
527	4837	4324
528	4842	4311
529	4851	4301
530	4855	4288
531	4864	4279
532	4871	4268
533	4879	4258
534	4888	4248
535	4895	4237
536	4900	4224
537	4905	4212
538	4913	4202
539	4921	4192
540	4928	4181
541	4933	4168
542	4937	4155
543	4943	4144
544	4948	4130
545	4957	4122
546	4965	4112
547	4971	4100
548	4979	4090
549	4985	4078
550	4989	4065
551	4995	4054
552	5002	4043
553	5008	4031
554	5014	4020
555	5020	4008
556	5025	3996
557	5030	3985
558	5037	3974
559	5046	3964
560	5052	3954
561	5059	3942
562	5064	3931
563	5069	3919
564	5076	3908
565	5085	3899
566	5091	3888
567	5100	3879
568	5107	3868
569	5118	3861
570	5126	3851
571	5133	3840
572	5141	3831
573	5148	3821
574	5156	3811
575	5162	3799
576	5170	3790
577	5177	3779
578	5184	3769
579	5189	3757
580	5195	3747
581	5201	3735
582	5206	3724
583	5212	3712
584	5217	3701
585	5223	3690
586	5233	3681
587	5241	3672
588	5247	3661
589	5255	3652
590	5269	3646
591	5280	3639
592	5292	3632
593	5304	3625
594	5312	3616
595	5324	3609
596	5336	3602
597	5353	3598
598	5359	3587
599	5366	3577
600	5372	3567
601	5377	3555
602	5392	3550
603	5396	3538
604	5407	3530
605	5413	3519
606	5419	3508
607	5426	3498
608	5433	3488
609	5438	3476
610	5450	3470
611	5457	3459
612	5464	3449
613	5471	3439
614	5476	3428
615	5483	3417
616	5495	3411
617	5503	3401
618	5544	3412
619	5563	3409
620	5575	3402
621	5585	3394
622	5595	3386
623	5600	3374
624	5609	3365
625	5616	3355
626	5621	3344
627	5631	3335
628	5641	3327
629	5650	3318
630	5655	3307
631	5660	3296
632	5669	3287
633	5676	3277
634	5684	3267
635	5691	3257
636	5697	3246
637	5704	3236
638	5709	3225
639	5715	3214
640	5724	3205
641	5729	3195
642	5738	3186
643	5749	3178
644	5761	3171
645	5773	3163
646	5777	3152
647	5781	3140
648	5787	3130
649	5793	3119
650	5798	3108
651	5805	3098
652	5812	3088
653	5818	3078
654	5825	3068
655	5832	3058
656	5837	3047
657	5844	3037
658	5866	3035
659	5882	3030
660	5895	3023
661	5915	3020
662	5934	3016
663	5951	3011
664	5965	3005
665	5977	2997
666	5987	2989
667	6001	2982
668	6012	2974
669	6023	2966
670	6033	2958
671	6045	2950
672	6056	2942
673	6069	2935
674	6080	2927
675	6093	2920
676	6104	2912
677	6114	2903
678	6127	2896
679	6137	2888
680	6147	2879
681	6159	2872
682	6173	2865
683	6188	2858
684	6199	2850
685	6211	2843
686	6221	2834
687	6237	2828
688	6250	2821
689	6262	2813
690	6276	2806
691	6292	2800
692	6303	2792
693	6317	2785
694	6327	2776
695	6340	2769
696	6353	2761
697	6367	2754
698	6378	2746
699	6389	2738
700	6401	2730
701	6413	2722
702	6424	2713
703	6436	2706
704	6448	2698
705	6461	2690
706	6475	2683
707	6486	2675
708	6503	2669
709	6513	2660
710	6529	2653
711	6539	2645
712	6552	2637
713	6566	2630
714	6578	2622
715	6589	2613
716	6604	2606
717	6616	2598
718	6631	2591
719	6646	2584
720	6674	2582
721	6691	2576
722	6712	2571
723	6729	2565
724	6748	2559
725	6766	2553
726	6782	2546
727	6802	2541
728	6816	2534
729	6836	2528
730	6851	2521
731	6872	2516
732	6885	2508
733	6904	2502
734	6922	2495
735	6942	2490
736	6953	2481
737	6971	2475
738	6987	2467
739	7001	2459
740	7020	2453
741	7036	2446
742	7054	2439
743	7069	2432
744	7083	2424
745	7095	2415
746	7106	2406
747	7121	2399
748	7131	2390
749	7145	2381
750	7157	2372
751	7167	2363
752	7180	2355
753	7199	2349
754	7218	2342
755	7231	2333
756	7245	2325
757	7260	2318
758	7276	2310
759	7293	2303
760	7310	2296
761	7325	2287
762	7341	2280
763	7356	2272
764	7367	2263
765	7384	2255
766	7399	2247
767	7417	2240
768	7429	2231
769	7446	2224
770	7467	2218
771	7477	2208
772	7486	2198
773	7496	2188
774	7506	2179
775	7517	2170
776	7530	2161
777	7541	2151
778	7551	2142
779	7562	2132
780	7574	2124
781	7587	2115
782	7607	2108
783	7625	2100
784	7640	2092
785	7657	2084
786	7675	2077
787	7689	2068
788	7710	2061
789	7721	2052
790	7734	2043
791	7748	2034
792	7762	2026
793	7772	2016
794	7787	2008
795	7799	1998
796	7811	1989
797	7828	1981
798	7841	1972
799	7852	1963
800	7863	1953
801	7877	1944
802	7891	1935
803	7904	1926
804	7917	1918
805	7933	1909
806	7947	1900
807	7963	1892
808	7977	1883
809	7990	1874
810	8008	1866
811	8020	1857
812	8031	1847
813	8047	1838
814	8061	1829
815	8074	1820
816	8091	1812
817	8102	1802
818	8112	1792
819	8125	1783
820	8136	1773
821	8148	1764
822	8162	1755
823	8175	1746
824	8190	1737
825	8202	1727
826	8215	1718
827	8228	1709
828	8244	1700
829	8255	1690
830	8270	1681
831	8280	1672
832	8293	1662
833	8309	1653
834	8320	1644
835	8335	1635
836	8347	1625
837	8361	1616
838	8373	1606
839	8400	1600
840	8421	1592
841	8437	1583
842	8462	1575
843	8472	1565
844	8508	1560
845	8539	1554
846	8567	1547
847	8598	1541
848	8623	1533
849	8645	1525
850	8668	1517
851	8684	1508
852	8699	1499
853	8713	1489
854	8737	1481
855	8752	1472
856	8770	1463
857	8789	1454
858	8804	1445
859	8816	1435
860	8830	1425
861	8849	1416
862	8864	1407
863	8879	1397
864	8895	1388
865	8908	1378
866	8926	1369
867	8938	1359
868	8954	1349
869	8970	1340
870	8983	1330
871	8999	1320
872	9013	1311
873	9024	1300
874	9042	1291
875	9058	1282
876	9071	1272
877	9088	1262
878	9101	1252
879	9117	1243
880	9131	1233
881	9147	1223
882	9160	1213
883	9172	1203
884	9190	1194
885	9207	1184
886	9222	1174
887	9235	1164
888	9250	1154
889	9262	1144
890	9281	1135
891	9294	1125
892	9306	1115
893	9318	1104
894	9325	1094
895	9331	1083
896	9337	1072
897	9343	1061
898	9354	1050
899	9366	1040
900	9378	1030
901	9391	1020
902	9406	1010
903	9419	1000
904	9431	990
905	9442	979
906	9452	969
907	9466	959
908	9477	948
909	9489	938
910	9501	928
911	9515	918
912	9530	908
913	9543	898
914	9556	887
915	9570	877
916	9581	867
917	9595	857
918	9608	846
919	9631	837
920	9655	828
921	9672	818
922	9693	808
923	9709	798
924	9730	788
925	9765	780
926	9806	772
927	9843	763
928	9876	754
929	9904	745
930	9932	736
931	9945	725
932	9957	715
933	9978	705
934	10006	695
935	10023	685
936	10048	675
937	10062	665
938	10103	656
939	10124	646
940	10143	635
941	10158	625
942	10178	615
943	10190	604
944	10203	593
945	10216	583
946	10230	572
947	10255	562
948	10274	552
949	10295	541
950	10314	531
951	10333	521
952	10346	510
953	10357	499
954	10372	488
955	10388	478
956	10404	467
957	10417	456
958	10428	445
959	10440	435
960	10451	424
961	10464	413
962	10476	402
963	10491	391
964	10519	381
965	10543	371
966	10554	360
967	10566	349
968	10581	338
969	10589	327
970	10600	316
971	10612	305
972	10629	294
973	10641	284
974	10656	273
975	10669	262
976	10684	251
977	10698	240
978	10712	229
979	10726	218
980	10739	208
981	10760	197
982	10775	186
983	10788	175
984	10805	164
985	10816	153
986	10827	142
987	10848	131
988	10859	120
989	10872	109
990	10888	98
991	10902	87
992	10915	76
993	10931	65
994	10943	54
995	10954	43
996	10970	33
997	10989	22
998	11015	11
999	11039	0
7	1720
929	22532	1696
930	22544	1670
931	22557	1645
932	22570	1620
933	22595	1596
934	22610	1571
935	22645	1548
936	22656	1523
937	22667	1498
938	22678	1473
939	22691	1448
940	22701	1423
941	22714	1398
942	22741	1374
943	22756	1349
944	22766	1325
945	22780	1300
946	22789	1275
947	22800	1250
948	22813	1226
949	22826	1201
950	22836	1176
951	22847	1151
952	22859	1127
953	22870	1102
954	22883	1078
955	22897	1053
956	22909	1029
957	22920	1004
958	22932	980
959	22944	956
960	22952	931
961	22987	908
962	22997	883
963	23008	859
964	23020	834
965	23026	810
966	23032	786
967	23037	761
968	23043	737
969	23049	712
970	23055	688
971	23061	664
972	23067	640
973	23073	615
974	23079	591
975	23084	567
976	23090	543
977	23096	519
978	23102	495
979	23109	471
980	23124	447
981	23135	424
982	23145	400
983	23167	376
984	23193	353
985	23205	329
986	23218	305
987	23229	282
988	23239	258
989	23250	234
990	23264	211
991	23278	187
992	23288	164
993	23300	140
994	23315	117
995	23327	93
996	23337	70
997	23352	46
998	23362	23
999	23375	0
